tNr (g N ha-1 period-1),SumObs,SumFillReal,SumTotal,MissFillReal,RandomAll,BiasGaps,ErrorTotal,LowerCI,UpperCI
IP_lin,-1057.7231,-219.1722,-1276.8953,0,23.1411,30.8795,54.0206,-1330.9159,-1222.8747
IP_mov,-1057.7231,-227.569,-1285.2921,0,22.143,31.8972,54.0402,-1339.3323,-1231.2519
WDM,-1057.7231,-262.2259,-1319.949,0,25.5899,32.1616,57.7515,-1377.7005,-1262.1975
FDA_hh6,-1057.7231,-245.0415,-1302.7646,0,24.0212,27.4815,51.5027,-1354.2673,-1251.2619
MDA_hh5,-1057.7231,-222.9634,-1280.6865,0,22.3222,29.6916,52.0138,-1332.7003,-1228.6727
MDC_d3,-1057.7231,-247.1584,-1304.8815,0,28.6685,42.6728,71.3413,-1376.2228,-1233.5402
MDC_d7,-1057.7231,-256.7489,-1314.472,0,26.2375,38.868,65.1055,-1379.5775,-1249.3665
LUT_V1_d3,-1057.7231,-354.4611,-1412.1842,0,25.3169,25.7237,51.0406,-1463.2248,-1361.1436
LUT_V1_d7,-1057.7231,-365.3288,-1423.0519,0,25.7121,29.3621,55.0742,-1478.1261,-1367.9777
LUT_V1V2_d3,-1057.7231,-252.9726,-1310.6957,5,24.1372,21.2327,45.3699,-1356.0656,-1265.3258
LUT_V1V2_d7,-1057.7231,-260.7127,-1318.4358,6,23.7554,21.0585,44.8139,-1363.2497,-1273.6219
LUT_V1V2V3_d3,-1057.7231,-241.4831,-1299.2062,26,24.0898,23.3144,47.4042,-1346.6104,-1251.802
LUT_V1V2V3_d7,-1057.7231,-247.1117,-1304.8348,27,23.6696,22.9223,46.5919,-1351.4267,-1258.2429
LUT_MDS_d7,-1057.7231,-259.1258,-1316.8489,0,25.2478,43.2306,68.4784,-1385.3273,-1248.3705
ANN_CRU,-1057.7231,-253.5168,-1311.2399,0,22.0288,20.5985,42.6273,-1353.8672,-1268.6126
ANN_all,-1057.7231,-230.4776,-1288.2007,0,20.6206,20.0028,40.6234,-1328.8241,-1247.5773
